STATIONS_ID,datetime,  QN,diffuse_radiation_J_cm2,global_radiation_J_cm2,sunshine_duration_min,longwave_radiation_J_cm2,eor,GHI_W_m2,DHI_W_m2
2559,2025-03-15 01:40:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 01:50:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 02:00:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 02:10:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 02:20:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 02:30:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 02:40:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 02:50:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 03:00:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 03:10:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 03:20:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 03:30:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 03:40:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 03:50:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 04:00:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 04:10:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 04:20:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 04:30:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 04:40:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 04:50:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 05:00:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 05:10:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 05:20:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 05:30:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 05:40:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 05:50:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 06:00:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 06:10:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 06:20:00,3,0.3,0.3,0.0,,eor,50.0,50.0
2559,2025-03-15 06:30:00,3,0.9,0.9,0.0,,eor,150.0,150.0
2559,2025-03-15 06:40:00,3,1.2,1.2,0.0,,eor,200.0,200.0
2559,2025-03-15 06:50:00,3,1.2,1.2,0.0,,eor,200.0,200.0
2559,2025-03-15 07:00:00,3,1.5,1.5,0.0,,eor,250.0,250.0
2559,2025-03-15 07:10:00,3,1.5,1.5,0.0,,eor,250.0,250.0
2559,2025-03-15 07:20:00,3,2.7,2.7,0.0,,eor,450.0,450.0
2559,2025-03-15 07:30:00,3,3.5,3.5,0.0,,eor,583.3,583.3
2559,2025-03-15 07:40:00,3,4.2,4.2,0.0,,eor,700.0,700.0
2559,2025-03-15 07:50:00,3,4.8,4.8,0.0,,eor,800.0,800.0
2559,2025-03-15 08:00:00,3,6.9,6.9,0.0,,eor,1150.0,1150.0
2559,2025-03-15 08:10:00,3,10.2,10.3,0.0,,eor,1716.7,1700.0
2559,2025-03-15 08:20:00,3,14.0,14.2,0.0,,eor,2366.7,2333.4
2559,2025-03-15 08:30:00,3,18.9,19.4,0.0,,eor,3233.4,3150.1
2559,2025-03-15 08:40:00,3,18.3,18.9,0.017,,eor,3150.1,3050.1
2559,2025-03-15 08:50:00,3,17.9,20.1,0.033,,eor,3350.1,2983.4
2559,2025-03-15 09:00:00,3,18.5,19.9,0.033,,eor,3316.7,3083.4
2559,2025-03-15 09:10:00,3,19.0,19.5,0.017,,eor,3250.1,3166.7
2559,2025-03-15 09:20:00,3,18.3,19.0,0.0,,eor,3166.7,3050.1
2559,2025-03-15 09:30:00,3,19.6,19.7,0.0,,eor,3283.4,3266.7
2559,2025-03-15 09:40:00,3,15.8,15.8,0.0,,eor,2633.4,2633.4
2559,2025-03-15 09:50:00,3,13.2,13.2,0.0,,eor,2200.0,2200.0
